[rank 27] 	COMPRESSION TIME: 0.1835165023803711 
[rank 29] 	COMPRESSION TIME: 0.27890944480895996 
[rank 14] 	COMPRESSION TIME: 0.1744225025177002 
[rank 17] 	COMPRESSION TIME: 0.2613060474395752 
[rank 23] 	COMPRESSION TIME: 0.1560955047607422 
[rank 8] 	COMPRESSION TIME: 0.17884302139282227 
[rank 5] 	COMPRESSION TIME: 0.16732501983642578 
[rank 2] 	COMPRESSION TIME: 0.23689007759094238 
[rank 26] 	COMPRESSION TIME: 0.1711890697479248 
[rank 31] 	COMPRESSION TIME: 0.25821661949157715 
[rank 15] 	COMPRESSION TIME: 0.20096397399902344 
[rank 19] 	COMPRESSION TIME: 0.21630549430847168 
[rank 20] 	COMPRESSION TIME: 0.08808493614196777 
[rank 10] 	COMPRESSION TIME: 0.11880159378051758 
[rank 4] 	COMPRESSION TIME: 0.07845592498779297 
[rank 1] 	COMPRESSION TIME: 0.1555168628692627 
[rank 24] 	COMPRESSION TIME: 0.0846407413482666 
[rank 30] 	COMPRESSION TIME: 0.22696208953857422 
[rank 13] 	COMPRESSION TIME: 0.23511171340942383 
[rank 16] 	COMPRESSION TIME: 0.22469067573547363 
[rank 22] 	COMPRESSION TIME: 0.031510353088378906 
[rank 16] 	COMPRESSION TIME: 0.24639487266540527 
[rank 13] 	COMPRESSION TIME: 0.23929929733276367 
[rank 27] 	COMPRESSION TIME: 0.18373775482177734 
[rank 22] 	COMPRESSION TIME: 0.20056962966918945 
[rank 19] 	COMPRESSION TIME: 0.3042168617248535 
[rank 3] 	COMPRESSION TIME: 0.17160916328430176 
[rank 11] 	COMPRESSION TIME: 0.2511324882507324 
[rank 6] 	COMPRESSION TIME: 0.28670597076416016 
[rank 30] 	COMPRESSION TIME: 0.02810978889465332 
[rank 12] 	COMPRESSION TIME: 0.26759910583496094 
[rank 26] 	COMPRESSION TIME: 0.1688978672027588 
[rank 23] 	COMPRESSION TIME: 0.2895479202270508 
[rank 18] 	COMPRESSION TIME: 0.27912139892578125 
[rank 1] 	COMPRESSION TIME: 0.19273829460144043 
[rank 9] 	COMPRESSION TIME: 0.2754936218261719 
[rank 5] 	COMPRESSION TIME: 0.2961897850036621 
[rank 29] 	COMPRESSION TIME: 0.3139193058013916 
[rank 15] 	COMPRESSION TIME: 0.22032475471496582 
[rank 25] 	COMPRESSION TIME: 0.18883848190307617 
[rank 21] 	COMPRESSION TIME: 0.3038468360900879 
[rank 17] 	COMPRESSION TIME: 0.26892948150634766 
[rank 2] 	COMPRESSION TIME: 0.18361783027648926 
[rank 10] 	COMPRESSION TIME: 0.12242245674133301 
[rank 7] 	COMPRESSION TIME: 0.3197789192199707 
[rank 31] 	COMPRESSION TIME: 0.32258176803588867 
[rank 14] 	COMPRESSION TIME: 0.25899338722229004 
[rank 24] 	COMPRESSION TIME: 0.1945490837097168 
[rank 20] 	COMPRESSION TIME: 0.260847806930542 
[rank 0] 	COMPRESSION TIME: 0.12324762344360352 
[rank 8] 	COMPRESSION TIME: 0.13837695121765137 
[rank 4] 	COMPRESSION TIME: 0.2978172302246094 
[rank 28] 	COMPRESSION TIME: 0.11480975151062012 
[rank 0] 	COMPRESSION TIME: 0.1455390453338623 
[rank 5] 	COMPRESSION TIME: 0.16762781143188477 
[rank 27] 	COMPRESSION TIME: 0.22456002235412598 
[rank 28] 	COMPRESSION TIME: 0.1550004482269287 
[rank 16] 	COMPRESSION TIME: 0.03925347328186035 
[rank 6] 	COMPRESSION TIME: 0.22200727462768555 
[rank 15] 	COMPRESSION TIME: 0.19497108459472656 
[rank 20] 	COMPRESSION TIME: 0.10381531715393066 
[rank 1] 	COMPRESSION TIME: 0.13509774208068848 
[rank 9] 	COMPRESSION TIME: 0.2283167839050293 
[rank 26] 	COMPRESSION TIME: 0.22290921211242676 
[rank 31] 	COMPRESSION TIME: 0.20295929908752441 
[rank 19] 	COMPRESSION TIME: 0.2095041275024414 
[rank 4] 	COMPRESSION TIME: 0.17408061027526855 
[rank 13] 	COMPRESSION TIME: 0.20024609565734863 
[rank 21] 	COMPRESSION TIME: 0.1944577693939209 
[rank 3] 	COMPRESSION TIME: 0.11527490615844727 
[rank 8] 	COMPRESSION TIME: 0.026808977127075195 
[rank 24] 	COMPRESSION TIME: 0.1983318328857422 
[rank 30] 	COMPRESSION TIME: 0.1458899974822998 
[rank 17] 	COMPRESSION TIME: 0.21843194961547852 
[rank 7] 	COMPRESSION TIME: 0.24753761291503906 
[rank 12] 	COMPRESSION TIME: 0.06584882736206055 
[rank 22] 	COMPRESSION TIME: 0.17729687690734863 
[rank 2] 	COMPRESSION TIME: 0.15448236465454102 
